/*****HEADER INFORMATION*****/
Experiment ID:,EyecatcherHome
Participant ID:,1
Session ID:,1
Block Num:,1
Config ID:,ecl_v0_0_13.expConfig.xml
Manual ID:,

Creation Date:,2019-08-02 10:28:40
End Date:,2019-08-02 10:33:25

Config:,            id: 'ecl_v0_0_13.expConfig.xml'\n        script: 'eyecatcherLite_v0_0_13.m'\n    ptrVersion: 0.8\n      randSeed: 210719.9\n        params:-|\n                |-    psyParams:-|\n                                 |-           mode: 'Threshold'\n                                 |-        COMMENT: {fixed or threshold; blah}\n                                 |-dynamicRange_db: 34\n                                 |-          fixed:-|\n                                                    |-     dB_offset: -6\n                                                    |-       COMMENT: {only used if doing suprathreshold perimetry; only used if doing suprathreshold perimetry}\n                                                    |-nFalsePositive: 3\n                                 |-      threshold:-|\n                                                    |-  dummy: 'hello'\n                                                    |-COMMENT: 'dummy'\n                |-   gridParams:-|\n                                 |-dummy: 'hello'\n                |-   stimParams:-|\n                                 |-                   goldmann: 'iii'\n                                 |-                    COMMENT: {III; [1 1 -1 -1] left; top; right; bottom  if blank then defaults to 2 myStimulus diameters; as per http://www.perimetry.org/GEN-INFO/standards/IPS90.HTM; after this point a VfAttentionGrabber will be used to recenter fixation; after this the location is permementantly aborted; left; top; right; bottom. On EIZO; approx equal to: [275 175 2285 1265]. These are in addition to the screen margins; amount of time for light to be 'on' (per cycle); 200ms is HFA default; amount of time for light to be 'off' (per cycle); n times to flash the light; 1 is HFA default; whether to play audio while stimulus is 'on'; left; top; right; bottom}\n                                 |-          screenMargins_deg: 0.5         0.5        -0.5        -0.5\n                                 |-maxPlaceAttemptsBeforeRefix: Inf\n                                 |-abortLocationAfterNattempts: 0\n                                 |-           calibMargins_deg: 1  1 -1 -1\n                                 |-         stim_cycle_on_secs: 0.2\n                                 |-        stim_cycle_off_secs: 0.2\n                                 |-               stim_cycle_n: 1\n                                 |-                 stim_audio: false\n                                 |-additionalGrabberMargins_px: 250  250 -250 -250\n                                 |-       minDistFromCentre_px: 0\n                                 |-     minDistFromTopRight_px: 0\n                                 |-      minDistFromTopLeft_px: 0\n                                 |-  minDistFromBottomRight_px: 0\n                                 |-   minDistFromBottomLeft_px: 0\n                                 |-             useStimRamping: true\n                                 |-             useStimWarping: true\n                                 |-              useLegacyMode: false\n                |-    lumParams:-|\n                                 |-             is10Bit: false\n                                 |-             COMMENT: {true; not implemented; 1.2732   4/pi for MP1; Octopus 101 and MAIA; 31.5/pi [10] for Humphrey; Goldmann; TAP/Twinfield; Octopus 300; 10cdm2 seems to be quoted as a 'standard'; but doesn't seem to apply for microperimeters; where the standard appears to be 1.27; 0.052541 n.b.; deltaLum is *added* to the background pedestal(!); i.e.; so with a background of 10 cd/m2; screen must be capable of at least 185 cd/m2 at every location; luxParams.bkgdLum_cdm2 + luxParams.deltaLum_max_cdm2}\n                                 |-      useBitstealing: true\n                                 |-  useCompressedGamma: false\n                                 |-        bkgdLum_cdm2: 10\n                                 |-   deltaLum_min_cdm2: 0.052541\n                                 |-   deltaLum_max_cdm2: 165\n                                 |-      maxAbsLum_cdm2: 175\n                                 |-   screenCalibSubDir: 'calib_17-Jun-2019'\n                                 |-      screenCalibRaw: 'hacked_step2_fullMatrix_InputOutputFunc_v1_20190617T082520'\n                                 |-screenCalibFittedBgd: 'hacked_step3_10cdm2_backgroundMatrix_CL_v1_20190617T125046'\n                |-graphicParams:-|\n                                 |-                screenNum: 0\n                                 |-                  COMMENT: {0; 1; 60 SPro 4; 59 SPro 3; 2736 SPro 4; 2160 SPro 3; 1920 Linx 64x12; 1920 HP Pavilion x360; 1824 SPro 4; 1440 SPro 3; 1080Linx 64x12; 26 SPro 4; 25.4 SPro 3; 27.7 Linx 64x12; 34.5 HP Pavilion x360; 17.3 SPro 4; 16.9 SPro 3; 15.6 Linx 64x12; 19.4 HP Pavilion x360; distance to MONITOR (includes tracker offset). N.B. given a 64 cm wide monitor; 65 would give 52.4 x 32.8 DVA; 0; 1; 2}\n                                 |-                       Fr: 60\n                                 |-           screenWidth_px: 1920\n                                 |-          screenHeight_px: 1080\n                                 |-           screenWidth_cm: 34.5\n                                 |-          screenHeight_cm: 19.4\n                                 |-assumedViewingDistance_cm: 50\n                                 |-                   useGUI: false\n                                 |-             GUIscreenNum: 2\n                |-     paradigm:-|\n                                 |-                          MODE: 'mousepress'\n                                 |-                       COMMENT: {eyetracking; mousepress; ????????; !!!!!!!; 'animalsprite'; 'controltrial'; 'coin'; 'animalsprite'; 125; 125}\n                                 |-                maxNTestTrials: 9999\n                                 |-trialInitContactThreshold_secs: 7.5\n                                 |-                 delayMin_secs: 0.15\n                                 |-               delaySigma_secs: 0.1\n                                 |-                 delayMax_secs: 0.4\n                                 |-            trialDuration_secs: 2.5\n                                 |-          attentionGrabberType: 'VfAttentionGrabberFace'\n                                 |-                refixationType: 'controltrial'\n                                 |-                 rewarder_type: 'coin'\n                                 |-        rewarder_duration_secs: 0.1\n                                 |-         rewarder_playGraphics: false\n                                 |-            rewarder_playAudio: true\n                                 |-             rewarder_isColour: false\n                                 |-          stationarity_nPoints: 10\n                                 |- stationarity_criterion_degsec: 60\n                                 |-idleAtEndUntilResultsFigClosed: true\n                |-    eyeParams:-|\n                                 |-                   ivisVersion: 1.5\n                                 |-                       npoints: 8\n                                 |-     relaxClassifierAfterNdegs: 5\n                                 |-           maxPathDeviation_px: 400\n                                 |-                       COMMENT: {100; 1.25 = 60 px at 60 cm viewing distance (on Eizo)); 2.5 = 121 px at 60 cm viewing distance (on Eizo); !!!!!!!; 'IvTobiiEyeX'; 'tobii'; 'mouse'; <eye>2</eye>  0==left; 1==right; 2==both  : Now set at run time!; !!!; otherwise will just assume already sitting 'assumedViewingDistance_cm' away at start; !!!}\n                                 |-                   boxdims_deg: 3  3\n                                 |-                          type: 'IvTobiiEyeX'\n                                 |-calibration_range_criterion_px: 600  400\n                                 |-      recalib_falseNegativeMin: 0.9\n                                 |-    recalib_minNfalseNegtrials: 10\n                                 |-          recalib_afterNTrials: 390\n                                 |-      calibrateDistanceAtStart: true\n                                 |-        minCredibleViewDist_cm: 45\n                                 |-        maxCredibleViewDist_cm: 65\n                                 |-            userInputToSetDist: true\n                                 |-          calibrateGazeAtStart: true\n                                 |-              gazeCalibNPoints: 5\n                                 |- additiveCalibrationOnTrackBox: false\n                |-  audioParams:-|\n                                 |-isEnabled: true\n                                 |-interface: 'MatlabBuiltIn'\n                                 |-    devID: \n
Notes:,
Warnings:,
Errors:,

/*****DATA*****/
id,timestamp,expID,partID,trialNum,nTestTrial,eye,isBlankCatchTrial,isEasyCatchTrial,isRefixationTrial,nStimPlacementFails,isCalibrated,lastKnownViewingDistance_cm,x_rel_deg,y_rel_deg,x_px,y_px,x_rel_px,y_rel_px,d_deg,stimDiameter_deg,stimDiameter_px,targLum_dB,targAbs_cdm2,stimLuminance_norm,minAcceptableTrialDuration_secs,responseLatency_secs,resp,anscorrect,grid_estimates,trialStartTime_secs,trialEndTime_secs,obs_x_px,obs_y_px,eyeTrackerLogFn,webcamFn,webcam_firstFrameNofCurrentTrial,webcam_lastFrameNofCurrentTrial
11,2019-08-02 10:30:07,EyecatcherHome,1,11,9,0,false,false,false,0,false,50,-9,3,506,389,-454,-151,9.4868,0.43333,22,20,11.65,0.26221,0.01,1.2709,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864006.2906,864007.5978,960,540,EyecatcherHome-1-1-1-20190802T103005,EyecatcherHome-1-1-1-20190802T102852.avi,356,363
12,2019-08-02 10:30:09,EyecatcherHome,1,12,10,0,false,false,false,0,false,50,-15,-9,203,994,-757,454,17.4929,0.43333,22,13,18.2696,0.32096,0.01,1.3993,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864008.2207,864009.6778,960,540,EyecatcherHome-1-1-1-20190802T103007,EyecatcherHome-1-1-1-20190802T102852.avi,365,373
13,2019-08-02 10:30:11,EyecatcherHome,1,13,11,0,false,false,false,0,false,50,3,9,1111,86,151,-454,9.4868,0.43333,22,13,18.2696,0.32096,0.01,1.5516,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864010.2987,864011.8865,960,540,EyecatcherHome-1-1-1-20190802T103009,EyecatcherHome-1-1-1-20190802T102852.avi,376,384
14,2019-08-02 10:30:14,EyecatcherHome,1,14,12,0,false,false,false,0,false,50,15,-9,1717,994,757,454,17.4929,0.43333,22,13,18.2696,0.32096,0.01,2.1288,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864012.5077,864014.6714,960,540,EyecatcherHome-1-1-1-20190802T103011,EyecatcherHome-1-1-1-20190802T102852.avi,387,398
15,2019-08-02 10:30:16,EyecatcherHome,1,15,12,0,false,true,false,0,false,50,-15,-9,203,994,-757,454,17.4929,0.43333,22,-Inf,222.477,1,0.01,1.6249,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864015.3065,864016.9856,960,540,EyecatcherHome-1-1-1-20190802T103014,EyecatcherHome-1-1-1-20190802T102852.avi,401,409
16,2019-08-02 10:30:18,EyecatcherHome,1,16,13,0,false,false,false,0,false,50,3,3,1111,389,151,-151,4.2426,0.43333,22,14,16.5688,0.30765,0.01,1.1186,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864017.6134,864018.7784,960,540,EyecatcherHome-1-1-1-20190802T103016,EyecatcherHome-1-1-1-20190802T102852.avi,412,418
17,2019-08-02 10:30:21,EyecatcherHome,1,17,14,0,false,false,false,0,false,50,3,-9,1111,994,151,454,9.4868,0.43333,22,14,16.5688,0.30765,0.01,2.1158,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864019.3802,864021.5342,960,540,EyecatcherHome-1-1-1-20190802T103018,EyecatcherHome-1-1-1-20190802T102852.avi,421,432
18,2019-08-02 10:30:23,EyecatcherHome,1,18,15,0,false,false,false,0,false,50,3,9,1111,86,151,-454,9.4868,0.43333,22,19,12.0772,0.26669,0.01,1.0198,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN NaN NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864022.2163,864023.293,960,540,EyecatcherHome-1-1-1-20190802T103021,EyecatcherHome-1-1-1-20190802T102852.avi,435,441
19,2019-08-02 10:30:25,EyecatcherHome,1,19,16,0,false,false,false,0,false,50,15,-3,1717,691,757,151,15.2971,0.43333,22,7,42.9218,0.46792,0.01,2.5189,timeout,false,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN NaN NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864023.9054,864026.4639,960,540,EyecatcherHome-1-1-1-20190802T103023,EyecatcherHome-1-1-1-20190802T102852.avi,444,457
20,2019-08-02 10:30:28,EyecatcherHome,1,20,17,0,false,false,false,0,false,50,3,-9,1111,994,151,454,9.4868,0.43333,22,20,11.65,0.26221,0.01,1.7603,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864026.6427,864028.4382,960,540,EyecatcherHome-1-1-1-20190802T103025,EyecatcherHome-1-1-1-20190802T102852.avi,457,466
21,2019-08-02 10:30:29,EyecatcherHome,1,21,18,0,false,false,false,0,false,50,-9,9,506,86,-454,-454,12.7279,0.43333,22,13,18.2696,0.32096,0.01,0.72729,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864029.074,864029.8563,960,540,EyecatcherHome-1-1-1-20190802T103028,EyecatcherHome-1-1-1-20190802T102852.avi,469,473
22,2019-08-02 10:30:31,EyecatcherHome,1,22,18,0,false,true,false,0,false,50,3,9,1111,86,151,-454,9.4868,0.43333,22,-Inf,222.477,1,0.01,1.0024,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864030.4123,864031.4581,960,540,EyecatcherHome-1-1-1-20190802T103029,EyecatcherHome-1-1-1-20190802T102852.avi,476,481
23,2019-08-02 10:30:32,EyecatcherHome,1,23,19,0,false,false,false,0,false,50,15,3,1717,389,757,-151,15.2971,0.43333,22,11,23.1064,0.35247,0.01,0.87266,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864032.1056,864033.0358,960,540,EyecatcherHome-1-1-1-20190802T103031,EyecatcherHome-1-1-1-20190802T102852.avi,484,489
24,2019-08-02 10:30:35,EyecatcherHome,1,24,20,0,false,false,false,0,false,50,-15,-9,203,994,-757,454,17.4929,0.43333,22,20,11.65,0.26221,0.01,2.5082,timeout,false,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864033.6195,864036.1754,960,540,EyecatcherHome-1-1-1-20190802T103032,EyecatcherHome-1-1-1-20190802T102852.avi,492,505
25,2019-08-02 10:30:37,EyecatcherHome,1,25,21,0,false,false,false,0,false,50,-3,-9,809,994,-151,454,9.4868,0.43333,22,14,16.5688,0.30765,0.01,1.1809,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864036.3903,864037.6222,960,540,EyecatcherHome-1-1-1-20190802T103035,EyecatcherHome-1-1-1-20190802T102852.avi,506,512
26,2019-08-02 10:30:40,EyecatcherHome,1,26,22,0,false,false,false,0,false,50,-3,9,809,86,-151,-454,9.4868,0.43333,22,13,18.2696,0.32096,0.01,2.5042,timeout,false,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864038.2314,864040.7801,960,540,EyecatcherHome-1-1-1-20190802T103037,EyecatcherHome-1-1-1-20190802T102852.avi,515,528
27,2019-08-02 10:30:40,EyecatcherHome,1,27,23,0,false,false,false,0,false,50,9,9,1414,86,454,-454,12.7279,0.43333,22,13,18.2696,0.32096,0.01,0.0025151,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864040.9574,864040.9969,960,540,EyecatcherHome-1-1-1-20190802T103040,EyecatcherHome-1-1-1-20190802T102852.avi,529,529
28,2019-08-02 10:30:41,EyecatcherHome,1,28,24,0,false,false,false,0,false,50,9,-9,1414,994,454,454,12.7279,0.43333,22,14,16.5688,0.30765,0.01,0.43646,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864041.5072,864041.9944,960,540,EyecatcherHome-1-1-1-20190802T103040,EyecatcherHome-1-1-1-20190802T102852.avi,531,534
29,2019-08-02 10:30:43,EyecatcherHome,1,29,25,0,false,false,false,0,false,50,15,3,1717,389,757,-151,15.2971,0.43333,22,16,14.1446,0.2866,0.01,1.4849,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864042.5316,864044.0733,960,540,EyecatcherHome-1-1-1-20190802T103041,EyecatcherHome-1-1-1-20190802T102852.avi,537,544
30,2019-08-02 10:30:45,EyecatcherHome,1,30,26,0,false,false,false,0,false,50,15,-3,1717,691,757,151,15.2971,0.43333,22,2,114.108,0.73205,0.01,1.291,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864044.6841,864046.0221,960,540,EyecatcherHome-1-1-1-20190802T103043,EyecatcherHome-1-1-1-20190802T102852.avi,547,554
31,2019-08-02 10:30:47,EyecatcherHome,1,31,27,0,false,false,false,0,false,50,9,-9,1414,994,454,454,12.7279,0.43333,22,20,11.65,0.26221,0.01,1.4825,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864046.6313,864048.1618,960,540,EyecatcherHome-1-1-1-20190802T103045,EyecatcherHome-1-1-1-20190802T102852.avi,557,565
32,2019-08-02 10:30:50,EyecatcherHome,1,32,28,0,false,false,false,0,false,50,15,-9,1717,994,757,454,17.4929,0.43333,22,19,12.0772,0.26669,0.01,2.5215,timeout,false,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864048.7559,864051.3424,960,540,EyecatcherHome-1-1-1-20190802T103048,EyecatcherHome-1-1-1-20190802T102852.avi,568,581
33,2019-08-02 10:30:53,EyecatcherHome,1,33,29,0,false,false,false,0,false,50,3,-3,1111,691,151,151,4.2426,0.43333,22,14,16.5688,0.30765,0.01,2.5015,timeout,false,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864051.5434,864054.0848,960,540,EyecatcherHome-1-1-1-20190802T103050,EyecatcherHome-1-1-1-20190802T102852.avi,581,594
34,2019-08-02 10:30:55,EyecatcherHome,1,34,30,0,false,false,false,0,false,50,3,-3,1111,691,151,151,4.2426,0.43333,22,2,114.108,0.73205,0.01,1.0235,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864054.2455,864055.3124,960,540,EyecatcherHome-1-1-1-20190802T103053,EyecatcherHome-1-1-1-20190802T102852.avi,595,600
35,2019-08-02 10:30:56,EyecatcherHome,1,35,31,0,false,false,false,0,false,50,-3,9,809,86,-151,-454,9.4868,0.43333,22,2,114.108,0.73205,0.01,0.71693,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864055.9111,864056.6735,960,540,EyecatcherHome-1-1-1-20190802T103055,EyecatcherHome-1-1-1-20190802T102852.avi,603,607
36,2019-08-02 10:30:59,EyecatcherHome,1,36,31,0,false,true,false,0,false,50,-9,-9,506,994,-454,454,12.7279,0.43333,22,-Inf,222.477,1,0.01,2.5089,timeout,false,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864057.212,864059.7822,960,540,EyecatcherHome-1-1-1-20190802T103056,EyecatcherHome-1-1-1-20190802T102852.avi,610,623
37,2019-08-02 10:31:01,EyecatcherHome,1,37,32,0,false,false,false,0,false,50,-3,-9,809,994,-151,454,9.4868,0.43333,22,20,11.65,0.26221,0.01,2.087,target,true,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN  21 NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864059.9716,864062.1047,960,540,EyecatcherHome-1-1-1-20190802T103059,EyecatcherHome-1-1-1-20190802T102852.avi,623,634
38,2019-08-02 10:31:04,EyecatcherHome,1,38,32,0,false,true,false,0,false,50,-15,9,203,86,-757,-454,17.4929,0.43333,22,-Inf,222.477,1,0.01,2.5024,timeout,false,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN  21 NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864062.7384,864065.2845,960,540,EyecatcherHome-1-1-1-20190802T103101,EyecatcherHome-1-1-1-20190802T102852.avi,637,650
39,2019-08-02 10:31:07,EyecatcherHome,1,39,32,0,true,false,false,0,false,50,-15,-3,203,691,-757,151,15.2971,0.43333,22,0,0.15651,0,0.01,2.518,timeout,false,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN  21 NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864065.473,864068.0458,960,540,EyecatcherHome-1-1-1-20190802T103104,EyecatcherHome-1-1-1-20190802T102852.avi,651,664
40,2019-08-02 10:31:10,EyecatcherHome,1,40,33,0,false,false,false,0,false,50,15,9,1717,86,757,-454,17.4929,0.43333,22,12,20.4108,0.33567,0.01,2.5043,timeout,false,NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  20  21 NaN NaN NaN NaN NaN NaN  21 NaN NaN  19 NaN NaN  21 NaN NaN NaN  19  20  21 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN,864068.2055,864070.7697,960,540,EyecatcherHome-1-1-1-20190802T103107,EyecatcherHome-1-1-1-20190802T102852.avi,664,677
